Pressure Reading,Voltage,Time
1.99,0.506796658039093,2024-08-16 13:49:01.443
1.97,0.5065597295761108,2024-08-16 13:49:01.515
1.98,0.5067176818847656,2024-08-16 13:49:01.620
1.97,0.5064807534217834,2024-08-16 13:49:01.670
2.0,0.506954550743103,2024-08-16 13:49:01.739
1.97,0.5064807534217834,2024-08-16 13:49:01.856
2.01,0.5071125030517578,2024-08-16 13:49:01.935
1.97,0.5065597295761108,2024-08-16 13:49:01.984
1.96,0.5063228607177734,2024-08-16 13:49:02.035
1.98,0.5066387057304382,2024-08-16 13:49:02.075
1.98,0.5066387057304382,2024-08-16 13:49:02.177
2.01,0.5071125030517578,2024-08-16 13:49:02.240
1.99,0.5068755745887756,2024-08-16 13:49:02.294
1.99,0.5068755745887756,2024-08-16 13:49:02.348
1.96,0.5063228607177734,2024-08-16 13:49:02.396
1.99,0.506796658039093,2024-08-16 13:49:02.464
1.99,0.5068755745887756,2024-08-16 13:49:02.521
1.98,0.5066387057304382,2024-08-16 13:49:02.570
2.0,0.506954550743103,2024-08-16 13:49:02.624
1.96,0.506243884563446,2024-08-16 13:49:02.696
1.98,0.5066387057304382,2024-08-16 13:49:02.766
1.98,0.5066387057304382,2024-08-16 13:49:02.834
1.97,0.5065597295761108,2024-08-16 13:49:02.893
2.0,0.506954550743103,2024-08-16 13:49:02.954
1.97,0.5064018368721008,2024-08-16 13:49:02.996
1.98,0.5067176818847656,2024-08-16 13:49:03.069
2.0,0.506954550743103,2024-08-16 13:49:03.133
1.96,0.506243884563446,2024-08-16 13:49:03.200
1.98,0.5066387057304382,2024-08-16 13:49:03.267
1.99,0.506796658039093,2024-08-16 13:49:03.333
1.99,0.506796658039093,2024-08-16 13:49:03.391
2.0,0.506954550743103,2024-08-16 13:49:03.455
1.97,0.5065597295761108,2024-08-16 13:49:03.520
1.97,0.5064018368721008,2024-08-16 13:49:03.715
1.98,0.5066387057304382,2024-08-16 13:49:03.844
1.98,0.5066387057304382,2024-08-16 13:49:03.991
1.99,0.506796658039093,2024-08-16 13:49:04.133
1.97,0.5065597295761108,2024-08-16 13:49:04.201
1.99,0.5068755745887756,2024-08-16 13:49:04.277
1.99,0.5068755745887756,2024-08-16 13:49:04.396
1.97,0.5064018368721008,2024-08-16 13:49:04.467
1.98,0.5066387057304382,2024-08-16 13:49:04.634
1.98,0.5066387057304382,2024-08-16 13:49:04.762
1.97,0.5065597295761108,2024-08-16 13:49:04.850
1.99,0.506796658039093,2024-08-16 13:49:04.936
1.98,0.5067176818847656,2024-08-16 13:49:04.993
1.98,0.5066387057304382,2024-08-16 13:49:05.048
1.97,0.5064807534217834,2024-08-16 13:49:05.105
1.97,0.5064807534217834,2024-08-16 13:49:05.173
1.99,0.5068755745887756,2024-08-16 13:49:05.225
1.98,0.5067176818847656,2024-08-16 13:49:05.273
2.0,0.5070335268974304,2024-08-16 13:49:05.326
1.94,0.5059280395507812,2024-08-16 13:49:05.379
1.97,0.5065597295761108,2024-08-16 13:49:05.471
1.96,0.506243884563446,2024-08-16 13:49:05.522
1.97,0.5065597295761108,2024-08-16 13:49:05.571
1.98,0.5067176818847656,2024-08-16 13:49:05.608
1.99,0.506796658039093,2024-08-16 13:49:05.660
2.01,0.5071125030517578,2024-08-16 13:49:05.737
1.99,0.506796658039093,2024-08-16 13:49:05.792
2.0,0.506954550743103,2024-08-16 13:49:05.848
1.97,0.5064807534217834,2024-08-16 13:49:05.900
1.99,0.506796658039093,2024-08-16 13:49:05.952
1.98,0.5067176818847656,2024-08-16 13:49:06.051
1.98,0.5066387057304382,2024-08-16 13:49:06.100
1.98,0.5067176818847656,2024-08-16 13:49:06.150
1.97,0.5064807534217834,2024-08-16 13:49:06.201
2.02,0.5073493719100952,2024-08-16 13:49:06.237
1.97,0.5064018368721008,2024-08-16 13:49:06.287
2.0,0.5070335268974304,2024-08-16 13:49:06.352
