Pressure Reading,Voltage,Time
2.09,0.5086128115653992,2024-08-16 13:49:01.437
2.09,0.5086128115653992,2024-08-16 13:49:01.512
2.11,0.5090076327323914,2024-08-16 13:49:01.616
2.11,0.5090076327323914,2024-08-16 13:49:01.667
2.09,0.5086917877197266,2024-08-16 13:49:01.726
2.1,0.5088496804237366,2024-08-16 13:49:01.825
2.08,0.5084548592567444,2024-08-16 13:49:01.931
2.1,0.508928656578064,2024-08-16 13:49:01.979
2.11,0.5090076327323914,2024-08-16 13:49:02.029
2.09,0.5086128115653992,2024-08-16 13:49:02.069
2.17,0.5100341439247131,2024-08-16 13:49:02.170
2.22,0.5109817385673523,2024-08-16 13:49:02.234
2.23,0.5111396312713623,2024-08-16 13:49:02.286
2.3,0.5124820470809937,2024-08-16 13:49:02.342
2.33,0.5130347609519958,2024-08-16 13:49:02.391
2.42,0.5146140456199646,2024-08-16 13:49:02.460
2.43,0.5149298906326294,2024-08-16 13:49:02.515
2.48,0.5157985091209412,2024-08-16 13:49:02.567
2.49,0.515956461429596,2024-08-16 13:49:02.602
2.61,0.5180884599685669,2024-08-16 13:49:02.690
2.66,0.519036054611206,2024-08-16 13:49:02.758
2.74,0.52045738697052,2024-08-16 13:49:02.815
2.83,0.5221946239471436,2024-08-16 13:49:02.884
2.88,0.5230631828308105,2024-08-16 13:49:02.950
2.96,0.5245634913444519,2024-08-16 13:49:02.990
3.05,0.526221752166748,2024-08-16 13:49:03.064
3.12,0.5274062156677246,2024-08-16 13:49:03.129
3.18,0.5285117030143738,2024-08-16 13:49:03.195
3.25,0.5298541188240051,2024-08-16 13:49:03.260
3.32,0.5311174988746643,2024-08-16 13:49:03.325
3.37,0.5320650935173035,2024-08-16 13:49:03.388
3.44,0.5331705808639526,2024-08-16 13:49:03.432
3.48,0.533960223197937,2024-08-16 13:49:03.489
3.63,0.5368029475212097,2024-08-16 13:49:03.647
3.76,0.5390139222145081,2024-08-16 13:49:03.822
3.86,0.540988028049469,2024-08-16 13:49:03.916
4.02,0.5438306927680969,2024-08-16 13:49:04.092
4.16,0.5463575720787048,2024-08-16 13:49:04.198
4.21,0.5473840832710266,2024-08-16 13:49:04.266
4.38,0.5504636764526367,2024-08-16 13:49:04.384
4.5,0.552516758441925,2024-08-16 13:49:04.464
