Pressure Reading,Voltage,Time
6.19,0.5833126902580261,2024-10-10 15:29:10.488
6.14,0.5825230479240417,2024-10-10 15:29:10.545
6.18,0.5832337141036987,2024-10-10 15:29:10.577
6.1,0.5817334055900574,2024-10-10 15:29:10.608
6.1,0.58165442943573,2024-10-10 15:29:10.643
6.16,0.5829178690910339,2024-10-10 15:29:10.678
6.08,0.5814175605773926,2024-10-10 15:29:10.730
6.18,0.5831547379493713,2024-10-10 15:29:10.777
6.09,0.5814964771270752,2024-10-10 15:29:10.808
6.09,0.5815754532814026,2024-10-10 15:29:10.840
6.16,0.5827599167823792,2024-10-10 15:29:10.871
6.04,0.5807068347930908,2024-10-10 15:29:10.902
6.17,0.583075761795044,2024-10-10 15:29:10.947
6.11,0.5818912982940674,2024-10-10 15:29:10.976
6.1,0.5818123817443848,2024-10-10 15:29:11.004
6.15,0.5826020240783691,2024-10-10 15:29:11.045
6.18,0.5832337141036987,2024-10-10 15:29:11.077
6.1,0.5818123817443848,2024-10-10 15:29:11.106
6.1,0.5818123817443848,2024-10-10 15:29:11.150
6.2,0.5834705829620361,2024-10-10 15:29:11.181
6.08,0.5814175605773926,2024-10-10 15:29:11.211
6.21,0.5837075114250183,2024-10-10 15:29:11.255
6.07,0.5812596082687378,2024-10-10 15:29:11.293
6.1,0.58165442943573,2024-10-10 15:29:11.339
6.16,0.5829178690910339,2024-10-10 15:29:11.368
6.06,0.5810227394104004,2024-10-10 15:29:11.398
6.18,0.5831547379493713,2024-10-10 15:29:11.446
6.14,0.5824440717697144,2024-10-10 15:29:11.478
6.11,0.5819702744483948,2024-10-10 15:29:11.508
6.14,0.5825230479240417,2024-10-10 15:29:11.548
6.18,0.5832337141036987,2024-10-10 15:29:11.585
6.11,0.5819702744483948,2024-10-10 15:29:11.620
6.13,0.582207202911377,2024-10-10 15:29:11.654
6.2,0.5836285352706909,2024-10-10 15:29:11.681
6.06,0.580943763256073,2024-10-10 15:29:11.710
6.2,0.5835495591163635,2024-10-10 15:29:11.753
6.08,0.5813385844230652,2024-10-10 15:29:11.796
6.06,0.5810227394104004,2024-10-10 15:29:11.821
6.16,0.5828388929367065,2024-10-10 15:29:11.868
6.04,0.5806279182434082,2024-10-10 15:29:11.898
6.17,0.583075761795044,2024-10-10 15:29:11.946
6.16,0.5827599167823792,2024-10-10 15:29:11.975
6.11,0.5819702744483948,2024-10-10 15:29:12.005
6.1,0.58165442943573,2024-10-10 15:29:12.035
6.18,0.5831547379493713,2024-10-10 15:29:12.086
6.12,0.5820492506027222,2024-10-10 15:29:12.119
6.12,0.5821282267570496,2024-10-10 15:29:12.153
6.08,0.5814175605773926,2024-10-10 15:29:12.202
6.05,0.5808647871017456,2024-10-10 15:29:12.233
6.17,0.5829968452453613,2024-10-10 15:29:12.265
6.09,0.5814964771270752,2024-10-10 15:29:12.309
6.17,0.5829968452453613,2024-10-10 15:29:12.358
6.07,0.5811806321144104,2024-10-10 15:29:12.398
6.13,0.582207202911377,2024-10-10 15:29:12.426
6.18,0.5831547379493713,2024-10-10 15:29:12.455
6.03,0.580390989780426,2024-10-10 15:29:12.502
6.1,0.5817334055900574,2024-10-10 15:29:12.529
6.15,0.5826020240783691,2024-10-10 15:29:12.557
6.13,0.582365095615387,2024-10-10 15:29:12.582
6.15,0.5826020240783691,2024-10-10 15:29:12.611
6.15,0.5826809406280518,2024-10-10 15:29:12.652
6.13,0.582365095615387,2024-10-10 15:29:12.700
6.07,0.581101655960083,2024-10-10 15:29:12.733
6.18,0.5832337141036987,2024-10-10 15:29:12.768
6.07,0.5812596082687378,2024-10-10 15:29:12.799
6.19,0.5833126902580261,2024-10-10 15:29:12.847
6.22,0.5838654041290283,2024-10-10 15:29:12.878
6.06,0.5810227394104004,2024-10-10 15:29:12.916
6.16,0.5828388929367065,2024-10-10 15:29:12.961
6.13,0.582365095615387,2024-10-10 15:29:12.980
6.12,0.5820492506027222,2024-10-10 15:29:13.012
6.15,0.5826809406280518,2024-10-10 15:29:13.043
6.1,0.58165442943573,2024-10-10 15:29:13.096
6.1,0.5817334055900574,2024-10-10 15:29:13.128
6.14,0.5824440717697144,2024-10-10 15:29:13.159
6.1,0.5817334055900574,2024-10-10 15:29:13.215
