time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:14:52.274,0.0,0.0,0.0
2025-01-15 23:14:52.480,-31.25,112.75,6432.0
2025-01-15 23:14:52.683,-31.25,112.75,6432.0
2025-01-15 23:14:52.888,-31.25,112.75,6434.0
2025-01-15 23:14:53.093,-31.25,112.75,6434.0
2025-01-15 23:14:53.298,-31.25,112.75,6432.0
2025-01-15 23:14:53.501,-31.25,112.75,6432.0
2025-01-15 23:14:53.704,-31.25,112.75,6432.0
2025-01-15 23:14:53.910,-31.25,112.75,6437.0
2025-01-15 23:14:54.115,-31.25,112.75,6437.0
2025-01-15 23:14:54.321,-31.25,112.75,6429.0
2025-01-15 23:14:54.526,-31.25,112.75,6429.0
2025-01-15 23:14:54.732,-31.25,112.75,6433.0
2025-01-15 23:14:54.933,-31.25,112.75,6433.0
2025-01-15 23:14:55.138,-31.25,112.75,6419.0
2025-01-15 23:14:55.343,-31.25,112.75,6419.0
2025-01-15 23:14:55.547,-31.25,112.75,6436.0
2025-01-15 23:14:55.749,-31.25,112.75,6436.0
2025-01-15 23:14:55.954,-31.25,112.75,6436.0
